date,start time,start stress,end time,end stress,T pred,result
02/17/25,10:58:00 AM,2,12:00:00 PM,1.9,64.00%,D
02/17/25,12:01:00 PM,1.9,03:32:00 PM,1.7,72.00%,T
02/20/25,12:37:00 PM,2.1,01:37:00 PM,2,69.00%,D
02/23/25,10:37:00 AM,1.9,11:37:00 AM,2,58.00%,D
02/23/25,11:38:00 AM,2,12:38:00 PM,2,64.00%,T
02/24/25,04:28:00 PM,2,05:26:00 PM,1.9,71.00%,T
02/25/25,08:00:00 AM,2.4,09:15:00 AM,2.2,72.00%,T
02/25/25,09:16:00 AM,2.2,10:16:00 AM,2.1,69.00%,T
02/26/25,11:50:00 AM,2.4,12:50:00 PM,2.3,60.00%,T
02/28/25,07:45:00 AM,2.1,08:45:00 AM,1.9,74.00%,T
02/28/25,04:58:00 PM,2.1,05:58:00 PM,1.8,75.00%,D
03/03/25,06:12:00 PM,2.1,07:12:00 PM,2,61.00%,T
