# Plot Line Tracer Export
# Calibration Data
# BottomLeft: PixelX=125, PixelY=363.45001220703125, PlotX=2020, PlotY=0
# TopRight: PixelX=733, PixelY=19.45001220703125, PlotX=2050, PlotY=8.5
# Data
Line,Point,PixelX,PixelY,PlotX,PlotY
9,20,719.00,31.45,2049.309211,8.203488
10,1,109.00,371.45,2019.210526,-0.197674
10,2,131.00,353.45,2020.296053,0.247093
10,3,170.00,333.45,2022.220395,0.741279
10,4,199.00,307.45,2023.651316,1.383721
10,5,215.00,288.45,2024.440789,1.853198
10,6,231.00,255.45,2025.230263,2.668605
10,7,236.00,232.45,2025.476974,3.236919
10,8,251.00,215.45,2026.217105,3.656977
10,9,286.00,205.45,2027.944079,3.904070
10,10,319.00,198.45,2029.572368,4.077035
10,11,376.00,188.45,2032.384868,4.324128
10,12,404.00,182.45,2033.766447,4.472384
10,13,435.00,175.45,2035.296053,4.645349
10,14,463.00,172.45,2036.677632,4.719477
10,15,495.00,160.45,2038.256579,5.015988
10,16,517.00,136.45,2039.342105,5.609012
10,17,537.00,95.45,2040.328947,6.622093
10,18,552.00,59.45,2041.069079,7.511628
10,19,565.00,25.45,2041.710526,8.351744
11,1,107.00,369.45,2019.111842,-0.148256
11,2,128.00,353.45,2020.148026,0.247093
11,3,164.00,329.45,2021.924342,0.840116
11,4,184.00,311.45,2022.911184,1.284884
11,5,202.00,290.45,2023.799342,1.803779
11,6,223.00,265.45,2024.835526,2.421512
11,7,232.00,244.45,2025.279605,2.940407
11,8,242.00,223.45,2025.773026,3.459302
11,9,257.00,189.45,2026.513158,4.299419
11,10,266.00,157.45,2026.957237,5.090116
11,11,278.00,111.45,2027.549342,6.226744
11,12,283.00,70.45,2027.796053,7.239826
11,13,290.00,21.45,2028.141447,8.450581
12,1,108.00,371.45,2019.161184,-0.197674
12,2,134.00,350.45,2020.444079,0.321221
12,3,160.00,329.45,2021.726974,0.840116
12,4,181.00,315.45,2022.763158,1.186047
12,5,200.00,293.45,2023.700658,1.729651
12,6,210.00,281.45,2024.194079,2.026163
12,7,218.00,268.45,2024.588816,2.347384
12,8,225.00,255.45,2024.934211,2.668605
12,9,230.00,243.45,2025.180921,2.965116
12,10,230.00,222.45,2025.180921,3.484012
12,11,231.00,192.45,2025.230263,4.225291
12,12,236.00,169.45,2025.476974,4.793605
12,13,253.00,148.45,2026.315789,5.312500
12,14,282.00,131.45,2027.746711,5.732558
12,15,317.00,120.45,2029.473684,6.004360
12,16,365.00,118.45,2031.842105,6.053779
12,17,404.00,112.45,2033.766447,6.202035
12,18,468.00,101.45,2036.924342,6.473837
12,19,498.00,93.45,2038.404605,6.671512
12,20,531.00,77.45,2040.032895,7.066860
12,21,556.00,65.45,2041.266447,7.363372
12,22,584.00,38.45,2042.648026,8.030523
12,23,599.00,20.45,2043.388158,8.475291
13,1,111.00,369.45,2019.309211,-0.148256
13,2,130.00,359.45,2020.246711,0.098837
13,3,151.00,339.45,2021.282895,0.593023
13,4,173.00,321.45,2022.368421,1.037791
13,5,190.00,301.45,2023.207237,1.531977
13,6,205.00,284.45,2023.947368,1.952035
13,7,226.00,262.45,2024.983553,2.495640
13,8,239.00,242.45,2025.625000,2.989826
13,9,269.00,209.45,2027.105263,3.805233
13,10,300.00,181.45,2028.634868,4.497093
13,11,318.00,166.45,2029.523026,4.867733
13,12,334.00,145.45,2030.312500,5.386628
13,13,346.00,120.45,2030.904605,6.004360
13,14,356.00,97.45,2031.398026,6.572674
13,15,385.00,83.45,2032.828947,6.918605
13,16,406.00,76.45,2033.865132,7.091570
13,17,424.00,57.45,2034.753289,7.561047
13,18,434.00,40.45,2035.246711,7.981105
13,19,442.00,22.45,2035.641447,8.425872
14,1,112.00,370.45,2019.358553,-0.172965
14,2,485.00,25.45,2037.763158,8.351744
15,1,110.00,368.45,2019.259868,-0.123547
15,2,145.00,348.45,2020.986842,0.370640
15,3,189.00,311.45,2023.157895,1.284884
15,4,214.00,279.45,2024.391447,2.075581
15,5,250.00,236.45,2026.167763,3.138081
15,6,265.00,206.45,2026.907895,3.879360
15,7,276.00,193.45,2027.450658,4.200581
15,8,287.00,177.45,2027.993421,4.595930
15,9,298.00,159.45,2028.536184,5.040698
15,10,316.00,135.45,2029.424342,5.633721
15,11,340.00,114.45,2030.608553,6.152616
15,12,372.00,99.45,2032.187500,6.523256
15,13,394.00,81.45,2033.273026,6.968023
15,14,418.00,65.45,2034.457237,7.363372
15,15,444.00,39.45,2035.740132,8.005814
15,16,459.00,23.45,2036.480263,8.401163
16,1,112.00,370.45,2019.358553,-0.172965
16,2,144.00,349.45,2020.937500,0.345930
16,3,180.00,317.45,2022.713816,1.136628
16,4,212.00,281.45,2024.292763,2.026163
16,5,254.00,230.45,2026.365132,3.286337
16,6,286.00,183.45,2027.944079,4.447674
16,7,314.00,109.45,2029.325658,6.276163
16,8,325.00,50.45,2029.868421,7.734012
16,9,329.00,20.45,2030.065789,8.475291
17,1,113.00,369.45,2019.407895,-0.148256
17,2,151.00,339.45,2021.282895,0.593023
17,3,181.00,309.45,2022.763158,1.334302
17,4,200.00,291.45,2023.700658,1.779070
17,5,222.00,264.45,2024.786184,2.446221
17,6,233.00,244.45,2025.328947,2.940407
17,7,251.00,214.45,2026.217105,3.681686
17,8,268.00,200.45,2027.055921,4.027616
17,9,311.00,185.45,2029.177632,4.398256
17,10,358.00,169.45,2031.496711,4.793605
17,11,401.00,162.45,2033.618421,4.966570
17,12,435.00,158.45,2035.296053,5.065407
17,13,489.00,149.45,2037.960526,5.287791
17,14,525.00,138.45,2039.736842,5.559593
17,15,570.00,125.45,2041.957237,5.880814
17,16,601.00,114.45,2043.486842,6.152616
17,17,629.00,100.45,2044.868421,6.498547
17,18,652.00,93.45,2046.003289,6.671512
17,19,686.00,87.45,2047.680921,6.819767
17,20,727.00,83.45,2049.703947,6.918605
18,1,112.00,369.45,2019.358553,-0.148256
18,2,140.00,352.45,2020.740132,0.271802
18,3,162.00,332.45,2021.825658,0.765988
18,4,182.00,313.45,2022.812500,1.235465
18,5,193.00,290.45,2023.355263,1.803779
18,6,218.00,263.45,2024.588816,2.470930
18,7,236.00,232.45,2025.476974,3.236919
18,8,254.00,196.45,2026.365132,4.126453
18,9,284.00,166.45,2027.845395,4.867733
18,10,321.00,135.45,2029.671053,5.633721
18,11,361.00,116.45,2031.644737,6.103198
18,12,387.00,95.45,2032.927632,6.622093
18,13,410.00,73.45,2034.062500,7.165698
18,14,440.00,50.45,2035.542763,7.734012
18,15,478.00,23.45,2037.417763,8.401163
19,1,107.00,370.45,2019.111842,-0.172965
19,2,129.00,357.45,2020.197368,0.148256
19,3,151.00,343.45,2021.282895,0.494186
19,4,173.00,320.45,2022.368421,1.062500
19,5,184.00,305.45,2022.911184,1.433140
19,6,202.00,286.45,2023.799342,1.902616
19,7,217.00,281.45,2024.539474,2.026163
19,8,232.00,251.45,2025.279605,2.767442
19,9,249.00,229.45,2026.118421,3.311047
19,10,267.00,213.45,2027.006579,3.706395
19,11,286.00,205.45,2027.944079,3.904070
19,12,298.00,191.45,2028.536184,4.250000
19,13,308.00,173.45,2029.029605,4.694767
19,14,322.00,155.45,2029.720395,5.139535
19,15,334.00,144.45,2030.312500,5.411337
19,16,349.00,138.45,2031.052632,5.559593
19,17,365.00,129.45,2031.842105,5.781977
19,18,378.00,120.45,2032.483553,6.004360
19,19,397.00,105.45,2033.421053,6.375000
19,20,420.00,96.45,2034.555921,6.597384
19,21,447.00,85.45,2035.888158,6.869186
19,22,464.00,77.45,2036.726974,7.066860
19,23,479.00,69.45,2037.467105,7.264535
19,24,494.00,59.45,2038.207237,7.511628
19,25,524.00,54.45,2039.687500,7.635174
19,26,554.00,47.45,2041.167763,7.808140
19,27,572.00,39.45,2042.055921,8.005814
19,28,595.00,30.45,2043.190789,8.228198
19,29,621.00,22.45,2044.473684,8.425872
20,1,108.00,369.45,2019.161184,-0.148256
20,2,152.00,337.45,2021.332237,0.642442
20,3,179.00,319.45,2022.664474,1.087209
20,4,207.00,280.45,2024.046053,2.050872
20,5,231.00,253.45,2025.230263,2.718023
