# Plot Line Tracer Export
# Calibration Data
# BottomLeft: PixelX=125, PixelY=363.45001220703125, PlotX=2020, PlotY=0
# TopRight: PixelX=733, PixelY=19.45001220703125, PlotX=2050, PlotY=8.5
# Data
Line,Point,PixelX,PixelY,PlotX,PlotY
39,10,293.00,121.95,2028.289474,5.967297
39,11,321.00,95.95,2029.671053,6.609739
39,12,351.00,77.95,2031.151316,7.054506
39,13,387.00,58.95,2032.927632,7.523983
39,14,461.00,39.95,2036.578947,7.993460
39,15,534.00,20.95,2040.180921,8.462936
40,1,107.00,370.95,2019.111842,-0.185319
40,2,126.00,353.95,2020.049342,0.234739
40,3,153.00,336.95,2021.381579,0.654797
40,4,183.00,310.95,2022.861842,1.297239
40,5,201.00,288.95,2023.750000,1.840843
40,6,217.00,273.95,2024.539474,2.211483
40,7,234.00,246.95,2025.378289,2.878634
40,8,253.00,216.95,2026.315789,3.619913
40,9,280.00,183.95,2027.648026,4.435320
40,10,305.00,159.95,2028.881579,5.028343
40,11,329.00,142.95,2030.065789,5.448402
40,12,375.00,118.95,2032.335526,6.041425
40,13,397.00,101.95,2033.421053,6.461483
40,14,421.00,81.95,2034.605263,6.955669
40,15,493.00,63.95,2038.157895,7.400436
40,16,621.00,48.95,2044.473684,7.771076
40,17,737.00,34.95,2050.197368,8.117006
41,1,103.00,371.95,2018.914474,-0.210029
41,2,139.00,347.95,2020.690789,0.382995
41,3,159.00,335.95,2021.677632,0.679506
41,4,183.00,311.95,2022.861842,1.272529
41,5,201.00,288.95,2023.750000,1.840843
41,6,224.00,262.95,2024.884868,2.483285
41,7,234.00,242.95,2025.378289,2.977471
41,8,249.00,211.95,2026.118421,3.743460
41,9,266.00,195.95,2026.957237,4.138809
41,10,319.00,169.95,2029.572368,4.781250
41,11,399.00,155.95,2033.519737,5.127181
41,12,477.00,140.95,2037.368421,5.497820
41,13,563.00,115.95,2041.611842,6.115553
41,14,652.00,78.95,2046.003289,7.029797
41,15,733.00,45.95,2050.000000,7.845204
42,1,104.00,370.95,2018.963816,-0.185319
42,2,130.00,354.95,2020.246711,0.210029
42,3,169.00,330.95,2022.171053,0.803053
42,4,199.00,296.95,2023.651316,1.643169
42,5,227.00,254.95,2025.032895,2.680960
42,6,237.00,228.95,2025.526316,3.323402
42,7,253.00,192.95,2026.315789,4.212936
42,8,268.00,157.95,2027.055921,5.077762
42,9,283.00,136.95,2027.796053,5.596657
42,10,301.00,120.95,2028.684211,5.992006
42,11,321.00,106.95,2029.671053,6.337936
42,12,345.00,92.95,2030.855263,6.683867
42,13,380.00,77.95,2032.582237,7.054506
42,14,438.00,58.95,2035.444079,7.523983
42,15,490.00,43.95,2038.009868,7.894622
42,16,583.00,29.95,2042.598684,8.240553
42,17,693.00,6.95,2048.026316,8.808867
43,1,103.00,374.95,2018.914474,-0.284157
43,2,137.00,353.95,2020.592105,0.234739
43,3,169.00,330.95,2022.171053,0.803053
43,4,188.00,311.95,2023.108553,1.272529
43,5,220.00,273.95,2024.687500,2.211483
43,6,236.00,242.95,2025.476974,2.977471
43,7,253.00,170.95,2026.315789,4.756541
43,8,277.00,125.95,2027.500000,5.868460
43,9,321.00,89.95,2029.671053,6.757995
43,10,358.00,68.95,2031.496711,7.276890
43,11,433.00,48.95,2035.197368,7.771076
43,12,502.00,36.95,2038.601974,8.067588
43,13,574.00,24.95,2042.154605,8.364099
43,14,620.00,13.95,2044.424342,8.635902
44,1,107.00,370.45,2019.111842,-0.172965
44,2,138.00,348.45,2020.641447,0.370640
44,3,176.00,318.45,2022.516447,1.111919
44,4,195.00,288.45,2023.453947,1.853198
44,5,214.00,277.45,2024.391447,2.125000
44,6,234.00,249.45,2025.378289,2.816861
44,7,252.00,224.45,2026.266447,3.434593
44,8,271.00,211.45,2027.203947,3.755814
44,9,302.00,200.45,2028.733553,4.027617
44,10,336.00,178.45,2030.411184,4.571221
44,11,362.00,156.45,2031.694079,5.114826
44,12,402.00,136.45,2033.667763,5.609012
44,13,429.00,121.45,2035.000000,5.979652
44,14,456.00,96.45,2036.332237,6.597384
44,15,473.00,70.45,2037.171053,7.239826
44,16,495.00,50.45,2038.256579,7.734012
44,17,517.00,40.45,2039.342105,7.981105
44,18,548.00,21.45,2040.871711,8.450582
45,1,100.00,374.45,2018.766447,-0.271802
45,2,141.00,351.45,2020.789474,0.296512
45,3,179.00,317.45,2022.664474,1.136628
45,4,197.00,290.45,2023.552632,1.803779
45,5,224.00,270.45,2024.884868,2.297965
45,6,246.00,228.45,2025.970395,3.335756
45,7,270.00,192.45,2027.154605,4.225291
45,8,306.00,172.45,2028.930921,4.719477
45,9,343.00,147.45,2030.756579,5.337210
45,10,375.00,122.45,2032.335526,5.954942
45,11,412.00,101.45,2034.161184,6.473838
45,12,444.00,80.45,2035.740132,6.992733
45,13,463.00,62.45,2036.677632,7.437500
45,14,484.00,33.45,2037.713816,8.154070
45,15,498.00,21.45,2038.404605,8.450582
46,1,101.00,371.45,2018.815789,-0.197674
46,2,125.00,356.45,2020.000000,0.172965
46,3,143.00,343.45,2020.888158,0.494186
46,4,169.00,322.45,2022.171053,1.013082
46,5,186.00,307.45,2023.009868,1.383721
46,6,198.00,291.45,2023.601974,1.779070
46,7,220.00,270.45,2024.687500,2.297965
46,8,238.00,233.45,2025.575658,3.212210
46,9,257.00,197.45,2026.513158,4.101745
46,10,283.00,177.45,2027.796053,4.595931
46,11,316.00,153.45,2029.424342,5.188954
46,12,336.00,135.45,2030.411184,5.633721
46,13,359.00,112.45,2031.546053,6.202035
46,14,382.00,98.45,2032.680921,6.547965
46,15,407.00,80.45,2033.914474,6.992733
46,16,452.00,61.45,2036.134868,7.462210
46,17,496.00,45.45,2038.305921,7.857559
46,18,535.00,23.45,2040.230263,8.401163
47,1,102.00,370.45,2018.865132,-0.172965
47,2,138.00,345.45,2020.641447,0.444768
47,3,166.00,326.45,2022.023026,0.914245
47,4,188.00,300.45,2023.108553,1.556686
47,5,222.00,261.45,2024.786184,2.520349
47,6,242.00,227.45,2025.773026,3.360465
47,7,269.00,182.45,2027.105263,4.472384
47,8,295.00,155.45,2028.388158,5.139535
47,9,325.00,139.45,2029.868421,5.534884
47,10,351.00,128.45,2031.151316,5.806686
47,11,377.00,115.45,2032.434211,6.127907
47,12,400.00,95.45,2033.569079,6.622093
47,13,429.00,75.45,2035.000000,7.116279
47,14,444.00,55.45,2035.740132,7.610465
47,15,463.00,35.45,2036.677632,8.104652
47,16,481.00,20.45,2037.565789,8.475291
48,1,110.00,370.45,2019.259868,-0.172965
48,2,134.00,352.45,2020.444079,0.271802
48,3,181.00,315.45,2022.763158,1.186047
48,4,202.00,288.45,2023.799342,1.853198
48,5,223.00,261.45,2024.835526,2.520349
48,6,235.00,243.45,2025.427632,2.965116
48,7,255.00,207.45,2026.414474,3.854651
48,8,279.00,189.45,2027.598684,4.299419
48,9,325.00,177.45,2029.868421,4.595930
48,10,390.00,170.45,2033.075658,4.768895
48,11,500.00,162.45,2038.503289,4.966570
48,12,605.00,150.45,2043.684211,5.263081
48,13,732.00,130.45,2049.950658,5.757267
49,1,106.00,369.95,2019.062500,-0.160610
49,2,137.00,349.95,2020.592105,0.333576
49,3,175.00,320.95,2022.467105,1.050146
49,4,201.00,290.95,2023.750000,1.791425
49,5,231.00,254.95,2025.230263,2.680960
49,6,245.00,218.95,2025.921053,3.570495
49,7,292.00,180.95,2028.240132,4.509448
49,8,364.00,165.95,2031.792763,4.880088
49,9,425.00,148.95,2034.802632,5.300146
49,10,479.00,132.95,2037.467105,5.695495
49,11,533.00,126.95,2040.131579,5.843750
49,12,589.00,120.95,2042.894737,5.992006
49,13,704.00,98.95,2048.569079,6.535611
49,14,746.00,96.95,2050.641447,6.585029
50,1,108.00,369.95,2019.161184,-0.160610
50,2,133.00,354.95,2020.394737,0.210029
50,3,161.00,330.95,2021.776316,0.803052
50,4,182.00,303.95,2022.812500,1.470203
50,5,216.00,278.95,2024.490132,2.087936
50,6,227.00,254.95,2025.032895,2.680959
50,7,242.00,223.95,2025.773026,3.446948
50,8,265.00,199.95,2026.907895,4.039971
50,9,325.00,175.95,2029.868421,4.632994
50,10,378.00,157.95,2032.483553,5.077762
50,11,444.00,131.95,2035.740132,5.720203
50,12,488.00,107.95,2037.911184,6.313227
50,13,555.00,82.95,2041.217105,6.930959
50,14,625.00,61.95,2044.671053,7.449855
50,15,736.00,51.95,2050.148026,7.696948
